17.6,23.1,49.1,17.4,10.5,2.49,-270.,-300.,20.
12.3,24.6,67.1,17.1,12.3,2.56,-222.,-300.,20.
7.46,26.,65.9,23.6,10.7,2.79,-174.,-300.,20.
4.81,26.2,48.7,24.,6.23,1.66,-126.,-300.,20.
1.5,25.,42.,24.6,4.18,1.52,-78.,-300.,20.
0.71,23.1,34.5,26.9,2.68,1.2,-30.,-300.,20.
18.5,24.6,48.5,16.8,14.2,1.55,-270.,-255.56,20.
13.2,26.5,53.2,16.5,13.8,2.01,-222.,-255.56,20.
9.42,27.6,54.,20.3,12.4,2.27,-174.,-255.56,20.
6.24,29.4,52.1,23.9,9.62,1.79,-126.,-255.56,20.
1.88,26.7,47.,25.7,6.84,1.56,-78.,-255.56,20.
0.82,21.,38.1,27.,4.47,1.08,-30.,-255.56,20.
22.1,27.5,48.2,17.6,15.9,8.04,-270.,-211.11,20.
18.3,31.1,51.4,20.6,15.8,10.2,-222.,-211.11,20.
15.4,32.7,54.5,22.9,14.3,11.,-174.,-211.11,20.
12.4,33.7,53.9,26.7,11.2,11.3,-126.,-211.11,20.
5.46,35.,57.7,29.1,8.75,13.1,-78.,-211.11,20.
1.2,18.9,41.6,28.,6.9,3.17,-30.,-211.11,20.
26.3,23.9,46.7,16.7,19.9,13.2,-270.,-166.67,20.
22.7,29.,51.4,22.3,21.,17.3,-222.,-166.67,20.
19.8,26.1,52.3,25.2,20.,19.1,-174.,-166.67,20.
20.5,31.9,66.6,29.7,19.3,23.3,-126.,-166.67,20.
10.7,31.1,71.2,33.8,17.9,25.3,-78.,-166.67,20.
1.56,22.6,61.5,37.8,6.92,8.1,-30.,-166.67,20.
27.,24.9,46.5,14.4,20.4,12.5,-270.,-122.22,20.
22.1,22.3,46.8,21.8,22.4,16.2,-222.,-122.22,20.
20.4,25.,53.5,23.8,23.4,17.4,-174.,-122.22,20.
20.4,27.9,66.7,28.9,25.5,23.5,-126.,-122.22,20.
11.,25.9,72.1,33.6,25.1,25.2,-78.,-122.22,20.
1.59,18.2,64.8,41.2,17.5,9.43,-30.,-122.22,20.
27.,24.3,49.3,17.1,20.9,12.6,-270.,-77.78,20.
21.5,25.7,53.5,22.3,24.2,16.4,-222.,-77.78,20.
15.5,7.77,35.8,21.3,25.3,11.1,-174.,-77.78,20.
16.4,23.1,57.6,24.8,26.7,17.9,-126.,-77.78,20.
9.01,22.1,56.5,31.1,28.7,20.8,-78.,-77.78,20.
1.89,15.3,49.,36.9,19.9,6.98,-30.,-77.78,20.
24.9,19.4,49.5,18.6,21.8,9.9,-270.,-33.33,20.
11.8,14.9,38.,20.6,19.1,9.15,-222.,-33.33,20.
5.87,7.52,13.5,13.4,13.1,5.96,-174.,-33.33,20.
10.8,12.3,40.9,15.2,26.,11.9,-126.,-33.33,20.
6.19,13.,42.2,22.2,27.6,12.6,-78.,-33.33,20.
1.83,9.8,38.5,26.3,21.7,4.68,-30.,-33.33,20.
23.1,14.9,48.9,17.9,21.4,8.42,-270.,11.11,20.
6.75,7.99,18.,19.1,15.1,4.75,-222.,11.11,20.
9.81,6.95,16.7,10.9,16.9,5.92,-174.,11.11,20.
7.06,6.19,19.6,11.2,22.1,7.21,-126.,11.11,20.
5.72,6.69,17.8,7.24,15.1,5.43,-78.,11.11,20.
2.3,6.4,24.6,16.4,19.6,3.2,-30.,11.11,20.
16.6,10.2,43.8,16.1,18.,7.28,-270.,55.56,20.
2.92,7.17,13.5,16.3,10.3,4.74,-222.,55.56,20.
5.41,9.23,11.,10.6,9.71,5.52,-174.,55.56,20.
3.11,8.96,8.85,10.5,9.69,5.58,-126.,55.56,20.
4.24,5.85,5.72,6.78,5.01,4.4,-78.,55.56,20.
2.78,6.23,21.6,10.2,16.7,2.27,-30.,55.56,20.
16.6,7.99,38.5,11.3,20.4,4.73,-270.,100.,20.
12.2,7.84,43.6,14.2,16.5,5.21,-222.,100.,20.
7.16,7.79,48.9,14.,17.8,5.76,-174.,100.,20.
2.,17.1,0.98,0.5,15.6,1.53,-126.,100.,20.
3.95,4.52,30.,16.5,7.5,2.74,-78.,100.,20.
3.22,5.93,31.4,20.4,18.1,1.97,-30.,100.,20.
26.1,30.9,60.6,27.6,17.9,6.13,-270.,-300.,65.
17.9,32.,90.1,24.3,21.3,4.18,-222.,-300.,65.
9.97,34.1,73.6,30.8,15.2,3.93,-174.,-300.,65.
6.9,35.3,58.3,34.7,9.18,3.,-126.,-300.,65.
1.93,35.2,46.8,34.1,5.57,2.8,-78.,-300.,65.
0.68,30.9,37.9,35.5,3.41,1.41,-30.,-300.,65.
27.5,32.4,57.2,27.7,24.2,7.02,-270.,-255.56,65.
19.,35.,62.3,24.5,22.9,6.05,-222.,-255.56,65.
14.5,37.4,64.1,28.2,19.8,5.42,-174.,-255.56,65.
10.3,39.9,60.8,32.9,14.8,5.16,-126.,-255.56,65.
2.93,39.7,54.1,34.5,9.85,4.71,-78.,-255.56,65.
0.91,34.4,45.,37.8,6.15,2.73,-30.,-255.56,65.
28.5,32.8,52.1,25.6,25.1,9.16,-270.,-211.11,65.
22.8,34.8,58.2,24.4,23.9,9.91,-222.,-211.11,65.
20.,38.1,62.6,27.5,20.9,10.8,-174.,-211.11,65.
15.6,41.6,65.7,32.2,16.6,10.9,-126.,-211.11,65.
4.43,40.7,63.9,34.5,12.1,10.2,-78.,-211.11,65.
1.25,33.3,56.4,41.5,8.47,5.12,-30.,-211.11,65.
30.2,31.6,51.3,25.8,24.8,11.8,-270.,-166.67,65.
27.1,32.9,56.8,25.5,23.2,13.9,-222.,-166.67,65.
24.4,34.7,64.4,27.3,20.9,14.7,-174.,-166.67,65.
19.5,35.7,71.3,33.,18.4,16.3,-126.,-166.67,65.
6.66,35.2,97.7,34.7,14.6,15.5,-78.,-166.67,65.
1.49,28.3,84.,49.,10.4,8.48,-30.,-166.67,65.
32.4,32.7,51.3,26.5,25.,12.9,-270.,-122.22,65.
29.3,33.2,58.7,25.,25.2,14.1,-222.,-122.22,65.
24.6,33.2,65.6,27.6,25.1,15.7,-174.,-122.22,65.
19.7,30.5,73.7,32.4,25.4,17.8,-126.,-122.22,65.
6.83,27.2,97.8,36.5,26.4,16.9,-78.,-122.22,65.
1.71,20.2,80.2,51.,20.4,9.82,-30.,-122.22,65.
33.7,33.3,55.8,26.6,26.6,11.8,-270.,-77.78,65.
28.1,31.3,62.1,25.6,27.7,13.3,-222.,-77.78,65.
22.1,19.3,46.1,24.2,29.8,14.2,-174.,-77.78,65.
17.2,32.2,71.2,33.5,33.,15.4,-126.,-77.78,65.
6.08,25.7,70.3,36.7,31.2,14.4,-78.,-77.78,65.
2.06,20.3,59.2,45.1,26.6,8.28,-30.,-77.78,65.
36.1,30.5,61.4,28.,27.,10.5,-270.,-33.33,65.
28.8,32.1,72.,24.9,28.9,9.78,-222.,-33.33,65.
18.6,32.5,77.1,25.7,30.9,14.9,-174.,-33.33,65.
12.3,27.,73.8,34.5,32.8,11.6,-126.,-33.33,65.
4.52,21.2,64.3,38.8,33.6,10.3,-78.,-33.33,65.
2.03,16.8,52.7,42.8,28.6,6.36,-30.,-33.33,65.
36.8,21.7,65.2,27.3,27.1,8.52,-270.,11.11,65.
3.69,5.86,6.51,17.2,15.9,7.33,-222.,11.11,65.
3.54,4.66,3.13,9.53,14.1,7.08,-174.,11.11,65.
2.55,4.6,2.92,9.14,13.6,6.84,-126.,11.11,65.
2.54,3.95,2.92,5.94,9.31,5.59,-78.,11.11,65.
2.81,12.7,45.7,38.1,26.5,4.37,-30.,11.11,65.
35.,11.5,62.2,23.3,29.3,6.49,-270.,55.56,65.
3.09,5.59,4.21,15.1,8.71,5.99,-222.,55.56,65.
4.98,7.02,1.33,7.41,5.,6.67,-174.,55.56,65.
3.11,6.9,0.86,6.32,5.01,6.18,-126.,55.56,65.
2.77,5.08,0.98,4.34,3.19,3.93,-78.,55.56,65.
3.3,8.87,40.8,34.,23.6,3.12,-30.,55.56,65.
30.2,9.67,51.7,15.8,36.3,4.59,-270.,100.,65.
23.6,9.79,63.7,17.4,32.4,4.98,-222.,100.,65.
13.1,10.8,66.8,18.,31.3,5.4,-174.,100.,65.
10.7,12.7,59.7,28.7,27.8,9.64,-126.,100.,65.
4.99,9.03,47.,30.8,21.3,3.81,-78.,100.,65.
4.49,8.16,34.9,30.8,25.1,2.53,-30.,100.,65.
44.1,37.3,77.7,36.8,29.6,9.3,-270.,-300.,110.
25.,38.,99.9,30.,32.8,6.51,-222.,-300.,110.
13.9,40.8,90.,44.7,27.8,5.08,-174.,-300.,110.
9.59,43.9,67.2,52.6,16.7,4.76,-126.,-300.,110.
2.55,44.6,49.7,45.2,8.95,3.86,-78.,-300.,110.
0.97,40.6,38.1,44.2,4.57,2.48,-30.,-300.,110.
39.,38.1,64.7,35.6,37.2,10.3,-270.,-255.56,110.
26.8,42.3,75.1,29.7,39.8,8.75,-222.,-255.56,110.
21.1,45.7,74.3,38.3,35.1,7.23,-174.,-255.56,110.
15.5,51.5,68.7,44.7,24.2,6.72,-126.,-255.56,110.
3.89,54.,60.9,42.9,15.,5.58,-78.,-255.56,110.
0.97,48.3,49.5,48.1,8.17,4.07,-30.,-255.56,110.
36.7,38.1,53.3,33.5,34.7,11.7,-270.,-211.11,110.
30.8,43.5,61.,29.8,36.,10.2,-222.,-211.11,110.
29.,48.1,69.2,33.9,32.4,10.,-174.,-211.11,110.
25.2,54.6,79.4,38.8,24.1,9.63,-126.,-211.11,110.
6.53,59.8,83.8,40.5,16.1,8.52,-78.,-211.11,110.
1.28,50.7,71.4,56.1,10.4,6.02,-30.,-211.11,110.
37.3,39.,48.8,32.5,31.5,13.,-270.,-166.67,110.
35.9,40.5,57.5,29.6,30.5,12.4,-222.,-166.67,110.
36.4,44.5,69.8,30.7,27.7,12.7,-174.,-166.67,110.
34.6,45.3,93.2,37.7,22.5,12.4,-126.,-166.67,110.
11.1,50.7,153,39.8,16.8,11.7,-78.,-166.67,110.
