269.03,362.,116.6,129.1,72.5,170.13,205.,105.,145.
773.,687.,532.67,184.2,73.867,195.3,205.,230.,145.
600.,481.67,814.,271.73,168.4,277.3,90.,295.,145.
184.6,194.4,121.8,110.7,97.9,183.3,90.,40.,145.
172.53,175.4,98.8,82.667,90.2,152.7,25.,40.,122.
168.1,166.4,103.8,91.1,100.2,166.63,25.,40.,145.
141.27,119.3,92.9,92.067,107.3,165.5,25.,40.,210.
294.,301.,113.2,126.3,113.1,226.67,25.,105.,122.
272.,283.,110.3,130.1,116.6,239.17,25.,105.,145.
186.23,187.73,103.23,123.13,111.9,229.47,25.,105.,210.
527.67,498.,211.53,206.23,152.7,254.,25.,170.,122.
622.,546.,220.1,234.37,154.17,273.,25.,170.,145.
611.,393.,151.47,231.37,137.6,333.,25.,170.,210.
687.,503.,433.,256.07,185.63,252.57,25.,235.,122.
803.,549.,474.,294.9,180.2,266.73,25.,235.,145.
1256.,437.,467.,350.,197.97,295.37,25.,235.,210.
404.,405.,576.,266.73,197.5,266.8,25.,300.,155.
677.33,395.,610.33,301.,221.43,300.,25.,300.,145.
553.67,221.5,594.,314.,289.17,275.67,25.,300.,210.
190.2,308.,134.97,96.2,90.2,109.1,155.,40.,80.
135.87,221.6,116.6,118.37,92.967,139.3,155.,40.,145.
126.6,181.3,121.1,132.9,101.5,171.9,155.,40.,210.
295.,487.,161.57,165.8,62.1,120.53,155.,105.,80.
234.07,402.,128.6,165.47,88.467,192.2,155.,105.,145.
170.73,258.9,115.8,156.6,90.8,219.3,155.,105.,210.
404.,556.,241.1,194.5,61.7,115.97,155.,170.,80.
476.,728.,225.4,203.7,83.8,192.,155.,170.,145.
312.,635.,137.5,198.2,96.1,255.5,155.,170.,210.
507.,630.,458.,236.43,72.967,123.5,155.,235.,80.
624.,752.33,537.,222.1,92.133,183.43,155.,235.,145.
496.,1330.,575.,264.4,134.3,240.9,155.,235.,210.
474.,479.,563.,174.13,80.4,170.87,155.,300.,80.
588.,586.,816.,257.5,137.8,256.9,155.,300.,145.
309.,571.,856.,330.67,178.3,278.7,155.,300.,210.
185.07,272.,123.1,92.1,74.9,97.6,255.,40.,80.
106.4,215.7,112.7,112.3,83.9,100.4,255.,40.,145.
101.03,179.7,111.63,129.1,88.1,135.17,255.,40.,210.
288.,390.,127.,78.9,52.667,105.37,255.,105.,80.
203.7,403.,121.5,131.,73.967,130.8,255.,105.,145.
135.,229.5,97.6,128.8,69.9,158.03,255.,105.,210.
382.33,524.67,195.93,81.733,45.4,96.3,255.,170.,80.
482.,776.33,239.83,162.27,64.9,124.63,255.,170.,145.
634.,838.,133.9,171.8,74.,230.67,255.,170.,210.
417.67,555.33,355.67,94.733,46.533,112.23,255.,235.,80.
706.33,824.67,595.,189.9,63.5,157.9,255.,235.,145.
2040.,1423.3,1056.7,197.13,75.1,192.17,255.,235.,210.
357.,464.33,485.67,116.7,59.,151.1,255.,300.,80.
580.33,519.,801.,219.4,74.667,227.87,255.,300.,145.
782.,414.,1646.3,220.,121.1,258.2,255.,300.,210.
