18.2,8.86,10.6,6.42,6.41,3.26,-230.,-210.,60.
20.9,9.53,10.7,6.49,6.52,3.34,-193.33,-210.,60.
25.,10.8,11.3,6.2,6.73,3.34,-156.67,-210.,60.
29.,10.8,12.3,6.34,7.27,3.42,-120.,-210.,60.
40.7,15.1,13.3,6.62,7.96,4.56,-83.33,-210.,60.
57.1,20.,15.6,7.26,10.,6.52,-46.67,-210.,60.
89.6,25.1,22.7,7.99,14.6,9.12,-10.,-210.,60.
182,32.9,54.7,8.09,35.1,12.5,26.67,-210.,60.
620,99.6,520,11.7,339,34.4,63.33,-210.,60.
87.1,174,510,722,296,49.6,100.,-210.,60.
18.2,8.06,10.2,6.28,6.91,2.68,-230.,-162.,60.
21.,9.28,10.5,6.14,7.53,2.79,-193.33,-162.,60.
24.1,10.2,11.2,6.24,8.15,2.69,-156.67,-162.,60.
29.9,11.7,11.8,6.23,9.54,2.41,-120.,-162.,60.
38.2,14.9,12.8,6.17,12.2,2.68,-83.33,-162.,60.
50.1,23.,16.1,7.26,18.8,6.6,-46.67,-162.,60.
69.3,28.1,21.4,11.9,32.2,7.04,-10.,-162.,60.
98.2,32.8,33.8,7.03,71.5,4.26,26.67,-162.,60.
117,31.9,73.8,12.1,181,21.6,63.33,-162.,60.
4.63,4.12,5.15,4.85,4.58,6.18,100.,-162.,60.
17.3,6.98,10.2,6.21,7.3,2.56,-230.,-114.,60.
21.,8.13,9.96,5.99,7.86,2.3,-193.33,-114.,60.
24.4,9.1,10.8,5.87,9.53,2.11,-156.67,-114.,60.
21.3,10.5,10.8,5.94,6.76,2.,-120.,-114.,60.
23.1,14.7,11.1,6.12,5.65,2.39,-83.33,-114.,60.
48.,21.1,14.8,7.01,20.3,6.05,-46.67,-114.,60.
59.7,32.8,20.1,7.89,31.1,6.11,-10.,-114.,60.
64.9,50.8,27.5,6.81,47.1,2.76,26.67,-114.,60.
43.4,58.9,28.4,9.68,37.2,8.21,63.33,-114.,60.
0.46,0.64,0.28,1.14,0.,0.32,100.,-114.,60.
16.6,6.,9.35,5.82,7.25,2.45,-230.,-66.,60.
17.4,6.61,9.83,5.74,6.44,2.41,-193.33,-66.,60.
19.6,7.66,9.74,5.78,7.27,2.32,-156.67,-66.,60.
26.1,8.91,10.8,5.8,8.61,2.25,-120.,-66.,60.
40.2,12.,12.1,5.92,14.4,2.36,-83.33,-66.,60.
53.6,18.2,15.3,7.13,19.7,6.35,-46.67,-66.,60.
72.9,31.5,21.9,8.61,24.5,5.78,-10.,-66.,60.
110,76.7,40.2,7.05,30.1,4.92,26.67,-66.,60.
